Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Bakery,Product_1123,309,15,72,263,634,0,5
Vegetables,Product_1124,325,5,180,309,188,1,3
Fruits,Product_1125,76,50,94,38,1888,1,8
Beverages,Product_1126,164,15,49,139,1693,1,3
Snacks,Product_1127,374,10,116,337,1768,1,4
Beverages,Product_1128,166,20,74,133,175,0,2
Fruits,Product_1129,344,5,199,327,1206,1,8
Bakery,Product_1130,425,50,92,212,1684,1,8
Vegetables,Product_1131,183,30,127,128,272,1,7
Fruits,Product_1132,329,10,47,296,1248,0,6
Dairy,Product_1133,152,25,121,114,1525,1,4
Fruits,Product_1134,385,20,148,308,1827,1,8
Vegetables,Product_1135,191,40,129,115,1833,0,6
Beverages,Product_1136,88,30,80,62,519,0,10
Vegetables,Product_1137,350,30,152,245,1491,1,7
Beverages,Product_1138,374,10,41,337,1256,1,4
Snacks,Product_1139,306,10,130,275,1892,0,4
Beverages,Product_1140,102,15,29,87,103,0,5
Dairy,Product_1141,100,15,32,85,574,0,1
Fruits,Product_1142,396,25,146,297,1926,0,2
Fruits,Product_1143,185,40,73,111,1738,1,2
Bakery,Product_1144,319,15,93,271,278,0,5
Dairy,Product_1145,219,15,110,186,519,1,10
Dairy,Product_1146,197,50,34,98,1536,0,3
Bakery,Product_1147,117,5,178,111,732,1,2
Beverages,Product_1148,350,25,193,262,1942,1,4
Beverages,Product_1149,304,10,86,274,1175,1,3
Fruits,Product_1150,234,15,79,199,1640,0,8
Dairy,Product_1151,207,20,138,166,1331,1,7
Vegetables,Product_1152,84,20,72,67,1232,0,9
Bakery,Product_1153,103,15,40,88,1117,1,3
Fruits,Product_1154,279,5,88,265,831,1,1
Dairy,Product_1155,70,30,38,49,1481,1,7
Beverages,Product_1156,79,5,41,75,1937,1,3
Beverages,Product_1157,213,30,117,149,957,0,8
Snacks,Product_1158,62,20,78,50,920,1,6
Snacks,Product_1159,53,25,93,40,1418,0,5
Bakery,Product_1160,67,10,59,60,1832,0,1
Vegetables,Product_1161,30,20,100,24,558,0,3
Vegetables,Product_1162,401,25,159,301,1734,1,10
Vegetables,Product_1163,302,20,106,242,1772,1,6
Fruits,Product_1164,90,30,85,63,1695,1,4
Snacks,Product_1165,467,50,143,234,691,0,2
Dairy,Product_1166,252,25,97,189,1054,0,1
Fruits,Product_1167,197,10,31,177,368,1,1
Snacks,Product_1168,65,25,191,49,719,1,7
Beverages,Product_1169,40,15,159,34,1311,0,7
Vegetables,Product_1170,494,40,109,296,906,1,3
Dairy,Product_1171,420,40,135,252,612,0,1
Beverages,Product_1172,232,50,43,116,195,0,3
Snacks,Product_1173,301,40,71,181,977,1,10
Snacks,Product_1174,333,20,141,266,326,1,3
Fruits,Product_1175,62,5,119,59,1373,1,7
Vegetables,Product_1176,428,15,7,364,355,0,9
Vegetables,Product_1177,480,20,27,384,1755,0,8
Snacks,Product_1178,435,10,32,392,1684,0,7
Beverages,Product_1179,234,10,60,211,1125,0,2
Vegetables,Product_1180,338,10,163,304,1471,1,9
Snacks,Product_1181,287,15,192,244,54,1,3
Beverages,Product_1182,334,50,164,167,109,1,1
Snacks,Product_1183,329,5,95,313,1655,1,5
Beverages,Product_1184,294,50,146,147,1793,0,3
Beverages,Product_1185,324,15,51,275,1778,0,9
Dairy,Product_1186,169,50,77,84,377,1,8
Dairy,Product_1187,407,30,119,285,1381,1,1
Dairy,Product_1188,242,10,37,218,1801,0,6
Bakery,Product_1189,370,20,179,296,1239,1,4
Fruits,Product_1190,59,10,102,53,1499,1,4
Bakery,Product_1191,156,20,70,125,1065,0,6
Vegetables,Product_1192,256,25,2,192,447,0,2
Fruits,Product_1193,39,20,177,31,1980,0,8
Bakery,Product_1194,95,30,176,66,296,0,10
Beverages,Product_1195,335,40,178,201,1006,1,5
Bakery,Product_1196,189,25,19,142,1028,0,1
Vegetables,Product_1197,374,15,109,318,893,0,2
Beverages,Product_1198,248,20,117,198,418,1,6
Bakery,Product_1199,87,5,89,83,393,1,3
Vegetables,Product_1200,64,10,163,58,1557,1,4
Bakery,Product_1201,99,5,188,94,816,0,3
Fruits,Product_1202,79,5,126,75,690,1,8
Dairy,Product_1203,334,50,34,167,1904,1,4
Dairy,Product_1204,207,5,169,197,316,1,2
Vegetables,Product_1205,138,25,53,104,258,0,6
Vegetables,Product_1206,305,5,24,290,878,1,5
Vegetables,Product_1207,22,15,90,19,1671,0,7
Snacks,Product_1208,312,10,118,281,1156,1,2
Bakery,Product_1209,149,50,29,74,620,0,5
Snacks,Product_1210,318,25,17,238,1148,0,2
Bakery,Product_1211,267,10,146,240,720,1,8
Beverages,Product_1212,124,5,52,118,837,1,5
Bakery,Product_1213,204,20,16,163,1745,1,10
Bakery,Product_1214,225,50,77,112,1959,1,7
Snacks,Product_1215,119,20,99,95,1318,0,7
Fruits,Product_1216,337,50,161,168,306,1,3
Snacks,Product_1217,113,25,153,85,297,0,2
Snacks,Product_1218,68,30,135,48,993,1,1
Bakery,Product_1219,404,40,193,242,1185,0,7
Bakery,Product_1220,263,5,125,250,73,1,8
Fruits,Product_1221,65,5,64,62,569,0,8
Dairy,Product_1222,438,20,181,350,167,1,7
Snacks,Product_1223,33,15,197,28,1906,1,6
Beverages,Product_1224,387,20,16,310,769,1,1
Fruits,Product_1225,38,30,31,27,699,0,10
Fruits,Product_1226,287,25,106,215,146,1,5
Vegetables,Product_1227,57,50,77,28,1611,1,8
Beverages,Product_1228,308,50,126,154,368,1,2
Vegetables,Product_1229,386,50,87,193,938,1,2
Snacks,Product_1230,87,15,115,74,1428,1,1
Bakery,Product_1231,335,10,146,302,1830,0,10
Dairy,Product_1232,411,25,112,308,1992,0,5
Dairy,Product_1233,324,40,128,194,970,0,8
Fruits,Product_1234,83,30,152,58,198,1,3
Vegetables,Product_1235,495,30,26,346,1582,0,4
Dairy,Product_1236,205,10,46,184,534,1,6
Beverages,Product_1237,339,25,190,254,695,0,8
Fruits,Product_1238,101,20,73,81,1680,1,9
Dairy,Product_1239,435,5,80,413,1012,1,4
Vegetables,Product_1240,76,25,34,57,927,0,8
Vegetables,Product_1241,393,15,51,334,1840,1,4
Bakery,Product_1242,264,30,171,185,1654,0,5
Dairy,Product_1243,452,5,56,429,1808,1,4
Snacks,Product_1244,201,20,151,161,663,1,8
Vegetables,Product_1245,402,20,151,322,1454,1,8
Snacks,Product_1246,116,20,61,93,838,1,5
Dairy,Product_1247,301,15,88,256,827,1,6
Vegetables,Product_1248,233,50,190,116,241,1,4
Snacks,Product_1249,174,50,130,87,357,1,7
Dairy,Product_1250,21,20,50,17,1996,0,9
Beverages,Product_1251,271,10,33,244,670,1,5
Bakery,Product_1252,446,40,33,268,1704,0,8
Snacks,Product_1253,399,15,79,339,1491,1,10
Bakery,Product_1254,417,40,158,250,377,1,1
Bakery,Product_1255,183,20,157,146,347,0,8
Snacks,Product_1256,462,25,118,346,1730,0,6
Fruits,Product_1257,216,5,97,205,265,0,8
Fruits,Product_1258,413,25,94,310,1864,1,4
Vegetables,Product_1259,379,15,170,322,186,1,8
Bakery,Product_1260,305,5,61,290,1324,1,6
Snacks,Product_1261,340,15,93,289,1565,1,7
Vegetables,Product_1262,396,50,189,198,578,0,7
Snacks,Product_1263,467,15,92,397,1692,1,3
Vegetables,Product_1264,60,10,117,54,356,1,5
Beverages,Product_1265,471,15,125,400,499,0,4
Bakery,Product_1266,331,50,200,166,447,0,4
Beverages,Product_1267,396,50,179,198,955,0,10
Vegetables,Product_1268,126,40,96,76,244,1,6
Dairy,Product_1269,417,5,160,396,1469,0,10
Snacks,Product_1270,332,25,98,249,296,0,1
Snacks,Product_1271,450,5,183,428,1811,1,9
Dairy,Product_1272,455,5,124,432,1372,1,6
Snacks,Product_1273,273,40,81,164,1833,1,5
Dairy,Product_1274,37,5,46,35,870,1,9
Fruits,Product_1275,455,30,67,318,1419,0,9
Dairy,Product_1276,76,30,52,53,1233,0,1
Snacks,Product_1277,254,30,117,178,1572,1,5
Beverages,Product_1278,308,5,144,293,1501,1,3
Vegetables,Product_1279,137,25,193,103,901,0,1
Snacks,Product_1280,455,40,165,273,1138,1,8
Bakery,Product_1281,58,25,197,44,1747,1,7
Fruits,Product_1282,100,20,132,80,1105,1,4
Beverages,Product_1283,205,30,123,144,1359,1,5
Snacks,Product_1284,400,5,68,380,416,0,9
Fruits,Product_1285,359,25,197,269,750,1,2
Snacks,Product_1286,252,20,99,202,527,0,3
Vegetables,Product_1287,217,50,46,108,1373,0,6
Snacks,Product_1288,145,40,36,87,490,0,8
Bakery,Product_1289,425,50,95,212,658,0,5
Beverages,Product_1290,250,15,181,212,748,1,3
Beverages,Product_1291,233,40,192,140,729,0,3
Snacks,Product_1292,20,40,110,12,502,0,1
Bakery,Product_1293,43,15,56,37,589,0,10
Bakery,Product_1294,469,50,14,234,1009,0,3
Fruits,Product_1295,344,25,15,258,1000,0,10
Beverages,Product_1296,116,40,196,70,212,1,2
Dairy,Product_1297,258,10,157,232,1086,1,2
Vegetables,Product_1298,160,15,179,136,1183,0,2
Beverages,Product_1299,60,40,66,36,925,1,7
Beverages,Product_1300,284,50,123,142,513,0,2
Dairy,Product_1301,103,15,71,88,766,1,9
Snacks,Product_1302,312,25,157,234,543,0,4
Bakery,Product_1303,208,40,56,125,613,1,1
Snacks,Product_1304,208,50,118,104,1275,1,5
Vegetables,Product_1305,412,50,1,206,280,1,9
Snacks,Product_1306,387,15,80,329,240,1,9
Bakery,Product_1307,192,40,2,115,764,0,1
Bakery,Product_1308,88,20,179,70,1236,0,4
Dairy,Product_1309,111,40,136,67,1378,0,4
Beverages,Product_1310,193,10,148,174,421,1,3
Bakery,Product_1311,108,10,200,97,1205,1,5
Bakery,Product_1312,170,20,127,136,1588,1,7
Bakery,Product_1313,458,5,61,435,1947,1,2
Bakery,Product_1314,24,5,128,23,1182,1,10
Snacks,Product_1315,316,20,47,253,1448,1,10
Beverages,Product_1316,267,25,197,200,1471,1,10
Beverages,Product_1317,425,20,87,340,620,0,6
Snacks,Product_1318,140,30,139,98,1272,0,9
Dairy,Product_1319,228,5,170,217,413,1,2
Fruits,Product_1320,257,25,166,193,1144,0,7
Fruits,Product_1321,344,20,48,275,1290,1,8
Dairy,Product_1322,65,10,37,58,469,0,7
Bakery,Product_1323,127,5,183,121,1256,1,10
Snacks,Product_1324,268,15,135,228,868,0,9
Vegetables,Product_1325,156,5,58,148,961,1,5
Fruits,Product_1326,480,20,140,384,344,0,7
Beverages,Product_1327,336,30,33,235,755,0,1
Dairy,Product_1328,39,50,140,20,1622,1,1
Dairy,Product_1329,34,5,192,32,1665,1,3
Bakery,Product_1330,205,40,34,123,1792,0,1
Beverages,Product_1331,455,5,77,432,861,1,3
Fruits,Product_1332,48,30,87,34,680,1,7
Snacks,Product_1333,109,10,156,98,1031,1,5
Dairy,Product_1334,430,25,41,322,364,1,10
Vegetables,Product_1335,291,10,46,262,581,1,6
Snacks,Product_1336,180,50,104,90,1491,1,5
Beverages,Product_1337,125,5,96,119,326,0,2
Beverages,Product_1338,87,10,60,78,843,1,10
Bakery,Product_1339,428,20,161,342,284,1,1
Beverages,Product_1340,173,25,5,130,1787,1,9
Dairy,Product_1341,106,5,95,101,1865,0,9
Vegetables,Product_1342,398,30,59,279,1418,1,8
Dairy,Product_1343,209,20,31,167,228,1,2
Beverages,Product_1344,134,10,56,121,1534,1,1
Beverages,Product_1345,91,50,52,46,890,1,5
Beverages,Product_1346,122,40,98,73,1582,1,1
Fruits,Product_1347,36,15,17,31,941,0,10
Dairy,Product_1348,292,25,94,219,151,1,10
Fruits,Product_1349,472,15,198,401,1681,0,10
Dairy,Product_1350,106,30,21,74,790,1,10
Fruits,Product_1351,403,25,102,302,1296,1,2
Fruits,Product_1352,500,50,70,250,869,1,9
Bakery,Product_1353,291,10,120,262,1657,1,5
Beverages,Product_1354,478,50,111,239,1620,0,6
Dairy,Product_1355,299,50,63,150,1301,0,6
Dairy,Product_1356,304,20,169,243,1214,1,4
Beverages,Product_1357,364,50,173,182,351,1,2
Dairy,Product_1358,255,15,54,217,383,0,6
Vegetables,Product_1359,399,15,178,339,1178,0,4
Beverages,Product_1360,235,30,159,164,474,0,3
Snacks,Product_1361,304,5,116,289,1694,1,2
Vegetables,Product_1362,488,10,91,439,890,1,2
Bakery,Product_1363,302,30,152,211,1688,0,5
Beverages,Product_1364,428,20,200,342,1473,0,4
Vegetables,Product_1365,180,40,158,108,993,0,8
Fruits,Product_1366,83,10,134,75,1590,0,7
Bakery,Product_1367,93,10,120,84,1982,1,9
Fruits,Product_1368,338,25,89,254,317,0,2
Snacks,Product_1369,191,30,53,134,98,1,5
Vegetables,Product_1370,23,20,52,18,675,0,10
Beverages,Product_1371,228,15,58,194,1581,0,2
Snacks,Product_1372,219,25,144,164,783,1,4
Beverages,Product_1373,67,20,165,54,1013,1,8
Dairy,Product_1374,323,25,39,242,86,1,9
Dairy,Product_1375,387,15,44,329,1021,0,3
Snacks,Product_1376,351,5,200,333,1696,1,8
Bakery,Product_1377,47,40,49,28,1638,0,10
Dairy,Product_1378,472,20,168,378,1803,0,7
Fruits,Product_1379,84,15,97,71,278,1,10
Beverages,Product_1380,171,50,35,86,338,1,5
Fruits,Product_1381,414,20,77,331,817,1,9
Vegetables,Product_1382,499,30,118,349,115,0,3
Dairy,Product_1383,151,40,40,91,202,1,8
Snacks,Product_1384,195,10,30,176,1955,1,3
Snacks,Product_1385,399,10,33,359,1113,1,10
Bakery,Product_1386,319,50,59,160,941,1,1
Fruits,Product_1387,354,40,185,212,235,1,9
Snacks,Product_1388,478,5,138,454,691,1,6
Bakery,Product_1389,65,30,160,46,1266,0,3
Vegetables,Product_1390,63,10,188,57,215,0,5
Dairy,Product_1391,296,15,43,252,1081,0,10
Fruits,Product_1392,480,15,163,408,1497,0,8
Dairy,Product_1393,456,20,103,365,669,1,9
Bakery,Product_1394,303,10,34,273,1913,0,1
Vegetables,Product_1395,484,40,185,290,1732,1,7
Dairy,Product_1396,92,30,173,64,1141,1,7
Bakery,Product_1397,344,20,100,275,1625,1,7
Fruits,Product_1398,308,5,105,293,738,1,9
Beverages,Product_1399,319,10,34,287,1376,0,10
Snacks,Product_1400,201,20,185,161,702,0,8
Snacks,Product_1401,334,15,102,284,1307,1,3
Fruits,Product_1402,38,15,76,32,292,0,1
Snacks,Product_1403,68,20,96,54,1144,0,4
Dairy,Product_1404,168,40,170,101,252,0,4
Beverages,Product_1405,127,15,22,108,1595,0,2
Fruits,Product_1406,372,40,171,223,868,0,9
Fruits,Product_1407,226,25,170,170,1407,1,10
Beverages,Product_1408,83,40,28,50,1967,0,3
Snacks,Product_1409,430,10,143,387,934,0,7
Vegetables,Product_1410,279,30,158,195,1306,0,7
Fruits,Product_1411,280,50,59,140,96,1,3
Beverages,Product_1412,464,15,154,394,1432,0,1
Beverages,Product_1413,489,10,162,440,1967,0,8
Beverages,Product_1414,263,50,53,132,343,0,2
Fruits,Product_1415,436,40,55,262,465,1,10
Beverages,Product_1416,140,5,110,133,836,1,5
Snacks,Product_1417,79,20,178,63,1415,1,7
Dairy,Product_1418,315,30,146,220,569,0,6
Bakery,Product_1419,471,5,70,447,225,0,9
Vegetables,Product_1420,154,20,128,123,1062,0,1
Dairy,Product_1421,91,10,141,82,455,1,8
Dairy,Product_1422,369,50,4,184,1382,0,3
Dairy,Product_1423,474,25,148,356,971,1,8
Beverages,Product_1424,352,25,158,264,1671,0,3
Fruits,Product_1425,208,10,41,187,246,0,9
Vegetables,Product_1426,112,5,122,106,646,0,7
Beverages,Product_1427,163,50,100,82,1374,1,5
Snacks,Product_1428,239,15,15,203,1089,1,9
Vegetables,Product_1429,334,25,100,250,1307,0,7
Snacks,Product_1430,112,50,120,56,179,1,1
Beverages,Product_1431,68,15,172,58,1374,0,2
Snacks,Product_1432,483,25,101,362,302,0,7
Snacks,Product_1433,498,10,18,448,1704,0,1
Fruits,Product_1434,167,40,126,100,1640,0,3
Beverages,Product_1435,475,15,102,404,661,0,1
Beverages,Product_1436,491,25,195,368,1184,0,6
Fruits,Product_1437,478,15,89,406,1719,1,10
Snacks,Product_1438,433,5,6,411,912,0,9
Vegetables,Product_1439,228,30,96,160,1719,1,3
Fruits,Product_1440,486,20,35,389,119,0,1
Snacks,Product_1441,452,25,194,339,1699,1,3
Fruits,Product_1442,341,50,33,170,1662,0,8
Fruits,Product_1443,159,50,71,80,994,0,7
Bakery,Product_1444,178,40,165,107,1453,1,10
Fruits,Product_1445,308,20,151,246,455,0,8
Dairy,Product_1446,309,40,13,185,1745,1,4
Bakery,Product_1447,67,5,173,64,295,0,2
Vegetables,Product_1448,423,30,103,296,1823,1,10
Snacks,Product_1449,415,5,15,394,463,0,3
Vegetables,Product_1450,463,5,139,440,526,0,10
Bakery,Product_1451,470,10,145,423,1339,1,10
Beverages,Product_1452,261,15,186,222,1496,0,9
Fruits,Product_1453,32,40,15,19,1918,0,8
Bakery,Product_1454,468,20,181,374,451,1,3
Fruits,Product_1455,402,5,159,382,855,1,8
Snacks,Product_1456,204,50,186,102,1376,0,2
Vegetables,Product_1457,183,10,48,165,469,0,5
Dairy,Product_1458,134,50,55,67,1777,0,6
Fruits,Product_1459,64,40,95,38,202,1,4
Fruits,Product_1460,458,15,72,389,1714,1,8
Vegetables,Product_1461,338,30,195,237,1280,1,4
Dairy,Product_1462,165,30,29,116,60,0,10
Bakery,Product_1463,323,40,178,194,303,1,1
Bakery,Product_1464,417,5,16,396,386,0,8
Bakery,Product_1465,371,20,190,297,574,0,4
Dairy,Product_1466,105,30,133,74,271,1,5
Fruits,Product_1467,258,25,55,194,999,1,6
Dairy,Product_1468,202,10,13,182,801,0,5
Fruits,Product_1469,167,5,87,159,1607,0,8
Vegetables,Product_1470,341,40,149,205,1129,0,10
Vegetables,Product_1471,445,30,109,312,1005,0,1
Snacks,Product_1472,267,20,96,214,147,1,7
Fruits,Product_1473,358,10,1,322,506,0,9
Vegetables,Product_1474,124,20,129,99,1336,1,10
Bakery,Product_1475,104,15,184,88,343,1,5
Bakery,Product_1476,417,20,80,334,1968,0,1
Snacks,Product_1477,439,5,172,417,1345,0,5
Beverages,Product_1478,168,40,25,101,1086,1,10
Vegetables,Product_1479,34,10,100,31,681,0,7
Beverages,Product_1480,474,30,184,332,640,1,10
Bakery,Product_1481,377,40,132,226,978,1,1
Dairy,Product_1482,164,10,129,148,962,1,5
Vegetables,Product_1483,359,5,183,341,1093,0,7
Dairy,Product_1484,254,10,97,229,1057,0,5
Bakery,Product_1485,387,30,161,271,1960,0,9
Dairy,Product_1486,198,5,55,188,377,1,2
Fruits,Product_1487,282,25,35,212,1194,1,8
Beverages,Product_1488,452,20,36,362,1067,0,4
Fruits,Product_1489,411,25,120,308,612,1,7
Fruits,Product_1490,396,5,21,376,597,1,3
Bakery,Product_1491,288,5,152,274,1701,1,5
Bakery,Product_1492,317,50,27,158,1163,0,8
Fruits,Product_1493,412,30,54,288,1450,1,10
Bakery,Product_1494,81,20,113,65,609,1,4
Fruits,Product_1495,444,30,153,311,1600,1,1
Snacks,Product_1496,299,40,90,179,359,0,2
Fruits,Product_1497,266,5,20,253,153,1,5
Snacks,Product_1498,412,30,186,288,1789,1,1
Fruits,Product_1499,228,50,184,114,1104,1,7
Beverages,Product_1500,121,25,10,91,1043,1,3
Fruits,Product_1501,23,50,66,12,639,1,6
Bakery,Product_1502,434,50,117,217,847,0,1
Beverages,Product_1503,462,30,185,323,1272,1,7
Fruits,Product_1504,193,20,190,154,174,1,9
Bakery,Product_1505,326,50,116,163,1077,1,6
Snacks,Product_1506,120,20,147,96,1603,1,1
Beverages,Product_1507,213,40,170,128,720,1,9
Bakery,Product_1508,56,30,104,39,638,1,7
Dairy,Product_1509,365,10,156,328,720,1,5
Bakery,Product_1510,348,5,98,331,1058,0,9
Snacks,Product_1511,207,15,166,176,945,1,10
Beverages,Product_1512,310,5,80,294,476,0,5
Fruits,Product_1513,498,10,21,448,223,1,10
Vegetables,Product_1514,215,5,144,204,1063,1,5
Bakery,Product_1515,64,15,175,54,716,0,8
Snacks,Product_1516,232,25,92,174,1836,0,7
Bakery,Product_1517,78,10,162,70,339,1,10
Bakery,Product_1518,256,10,177,230,1950,1,8
Bakery,Product_1519,417,30,89,292,250,0,8
Dairy,Product_1520,186,15,148,158,1551,0,4
Dairy,Product_1521,295,30,184,206,1946,0,1
Snacks,Product_1522,40,20,148,32,112,0,8
Dairy,Product_1523,269,15,78,229,786,1,4
Fruits,Product_1524,281,20,41,225,704,0,10
Beverages,Product_1525,354,5,113,336,994,1,5
Bakery,Product_1526,460,10,99,414,1984,1,1
Snacks,Product_1527,95,5,77,90,1115,0,4
Dairy,Product_1528,204,20,115,163,688,1,2
Beverages,Product_1529,434,30,53,304,329,1,10
Dairy,Product_1530,455,20,85,364,458,0,5
Dairy,Product_1531,142,20,86,114,1357,1,1
Beverages,Product_1532,337,5,152,320,1687,1,6
Bakery,Product_1533,59,20,179,47,488,1,8
Fruits,Product_1534,29,10,145,26,1365,1,3
Bakery,Product_1535,127,30,12,89,657,0,8
Bakery,Product_1536,257,30,146,180,367,1,5
Beverages,Product_1537,113,15,189,96,1305,1,2
Bakery,Product_1538,424,25,52,318,828,0,3
Bakery,Product_1539,57,30,155,40,587,0,9
Snacks,Product_1540,253,5,135,240,1313,0,10
Beverages,Product_1541,317,10,18,285,1767,0,6
Dairy,Product_1542,320,30,4,224,1177,0,7
Bakery,Product_1543,69,40,45,41,1544,0,1
Snacks,Product_1544,405,15,2,344,470,1,7
Bakery,Product_1545,222,30,136,155,1021,0,8
Dairy,Product_1546,376,20,183,301,1070,0,6
Dairy,Product_1547,375,25,97,281,1794,0,7
Vegetables,Product_1548,452,5,58,429,1196,1,1
Vegetables,Product_1549,214,25,44,160,714,1,7
Fruits,Product_1550,166,5,85,158,1067,0,3
Snacks,Product_1551,373,20,48,298,1672,1,4
Vegetables,Product_1552,287,10,48,258,230,0,7
Beverages,Product_1553,166,5,109,158,232,0,4
Vegetables,Product_1554,352,10,83,317,1509,0,6
Fruits,Product_1555,279,15,195,237,987,1,3
Bakery,Product_1556,467,40,104,280,909,0,4
Fruits,Product_1557,500,40,84,300,1943,1,8
Dairy,Product_1558,313,10,95,282,1519,1,7
Beverages,Product_1559,124,15,33,105,597,1,6
Snacks,Product_1560,131,50,118,66,468,1,3
Dairy,Product_1561,310,50,121,155,1152,1,1
Snacks,Product_1562,403,40,96,242,670,1,3
Vegetables,Product_1563,451,5,9,428,623,0,7
Beverages,Product_1564,493,30,135,345,741,0,9
Dairy,Product_1565,328,20,158,262,1082,0,1
Beverages,Product_1566,180,5,124,171,628,0,7
Fruits,Product_1567,191,10,97,172,1844,1,9
Snacks,Product_1568,371,40,74,223,198,0,9
Beverages,Product_1569,385,50,18,192,685,0,9
Beverages,Product_1570,446,30,114,312,693,0,9
Dairy,Product_1571,127,50,182,64,741,0,9
Bakery,Product_1572,298,50,139,149,887,0,7
Vegetables,Product_1573,358,30,27,251,304,0,1
Fruits,Product_1574,85,10,77,76,1370,1,10
Fruits,Product_1575,60,20,175,48,1975,0,5
Beverages,Product_1576,24,50,71,12,1214,1,9
Bakery,Product_1577,26,40,144,16,205,0,6
Bakery,Product_1578,318,15,52,270,195,1,4
Snacks,Product_1579,477,25,168,358,834,1,9
Beverages,Product_1580,279,10,58,251,895,0,6
Fruits,Product_1581,194,20,120,155,1581,0,3
Fruits,Product_1582,21,10,109,19,109,1,7
Bakery,Product_1583,435,15,199,370,1070,0,2
Dairy,Product_1584,266,15,130,226,775,0,2
Snacks,Product_1585,318,5,51,302,1849,0,2
Snacks,Product_1586,458,30,21,321,99,1,4
Vegetables,Product_1587,456,30,32,319,237,0,4
Beverages,Product_1588,260,30,41,182,1006,0,9
Fruits,Product_1589,459,30,136,321,1978,0,3
Fruits,Product_1590,254,30,44,178,229,0,9
Dairy,Product_1591,206,25,94,154,1388,0,3
Bakery,Product_1592,378,15,82,321,758,1,6
Vegetables,Product_1593,150,20,152,120,1824,1,8
Beverages,Product_1594,355,10,179,320,296,0,1
Beverages,Product_1595,93,15,176,79,1077,1,9
Beverages,Product_1596,119,20,47,95,158,1,6
Vegetables,Product_1597,224,20,157,179,1847,0,9
Beverages,Product_1598,471,50,110,236,291,1,7
Beverages,Product_1599,215,15,9,183,757,1,1
Beverages,Product_1600,250,20,32,200,1285,1,6
Beverages,Product_1601,148,50,197,74,1576,0,1
Beverages,Product_1602,459,15,91,390,152,0,9
Bakery,Product_1603,301,15,128,256,948,0,6
Vegetables,Product_1604,398,20,174,318,1547,1,7
Snacks,Product_1605,63,15,83,54,902,1,6
Beverages,Product_1606,87,25,124,65,365,0,5
Snacks,Product_1607,348,5,88,331,665,0,1
Beverages,Product_1608,185,50,16,92,485,1,4
Snacks,Product_1609,267,5,56,254,463,0,2
Snacks,Product_1610,226,30,145,158,261,1,1
Dairy,Product_1611,142,50,40,71,1860,1,10
Dairy,Product_1612,186,25,166,140,543,1,10
Beverages,Product_1613,360,20,163,288,996,0,9
Fruits,Product_1614,100,20,137,80,50,0,10
Beverages,Product_1615,277,15,49,235,90,0,2
Snacks,Product_1616,346,25,186,260,1205,1,2
Bakery,Product_1617,110,25,112,82,180,1,8
Dairy,Product_1618,115,30,173,80,381,0,8
Dairy,Product_1619,422,25,115,316,1924,1,1
Bakery,Product_1620,485,40,82,291,1282,0,7
Bakery,Product_1621,89,15,137,76,588,0,9
Vegetables,Product_1622,480,15,65,408,1429,1,10
Fruits,Product_1623,401,10,140,361,1371,0,8
Dairy,Product_1624,496,10,55,446,594,1,7
Vegetables,Product_1625,351,30,33,246,1163,0,5
Vegetables,Product_1626,243,30,130,170,1103,0,2
Fruits,Product_1627,468,25,143,351,1217,0,10
Dairy,Product_1628,450,40,39,270,1044,0,2
Beverages,Product_1629,315,25,81,236,1007,0,2
Beverages,Product_1630,182,5,95,173,997,0,7
Vegetables,Product_1631,355,40,50,213,631,1,10
Beverages,Product_1632,354,15,178,301,1028,0,4
Vegetables,Product_1633,474,25,49,356,1712,1,10
Beverages,Product_1634,152,25,35,114,1791,1,1
Snacks,Product_1635,324,30,113,227,1566,1,10
Fruits,Product_1636,164,5,3,156,1804,1,4
Vegetables,Product_1637,453,50,122,226,687,0,7
Dairy,Product_1638,423,20,74,338,1316,1,8
Snacks,Product_1639,200,40,53,120,288,1,2
Beverages,Product_1640,205,25,146,154,1436,1,3
Snacks,Product_1641,60,5,54,57,159,1,5
Vegetables,Product_1642,234,5,48,222,384,1,9
Fruits,Product_1643,443,25,144,332,1140,1,5
Beverages,Product_1644,162,50,23,81,1774,0,3
Vegetables,Product_1645,400,5,156,380,1503,1,1
Dairy,Product_1646,402,25,107,302,104,1,4
Snacks,Product_1647,61,10,35,55,895,1,8
Bakery,Product_1648,170,20,67,136,1904,1,10
Fruits,Product_1649,370,50,91,185,1176,1,9
Bakery,Product_1650,205,25,132,154,864,1,10
Fruits,Product_1651,168,30,64,118,838,1,4
Snacks,Product_1652,65,20,50,52,431,1,1
Beverages,Product_1653,311,50,12,156,1142,0,2
Snacks,Product_1654,296,15,127,252,1879,0,9
Fruits,Product_1655,331,30,28,232,1256,0,10
Vegetables,Product_1656,261,5,57,248,1715,1,8
Beverages,Product_1657,219,15,139,186,976,0,8
Dairy,Product_1658,345,5,59,328,1241,1,2
Beverages,Product_1659,192,10,21,173,1807,0,1
Vegetables,Product_1660,160,50,163,80,186,1,4
Bakery,Product_1661,333,10,130,300,1454,0,8
Dairy,Product_1662,272,30,84,190,179,0,3
Bakery,Product_1663,429,30,125,300,1977,1,6
Snacks,Product_1664,379,40,51,227,976,1,4
Snacks,Product_1665,418,30,190,293,51,0,3
Fruits,Product_1666,237,20,101,190,1712,0,8
